67.417  182.045
69.141  183.842
70.696  186.708
70.976  189.854
70.275  192.586
69.203  194.189
68.721  192.406
68.088  190.144
65.809  186.390
63.135  184.633
57.805  183.188
53.650  179.201
50.950  173.592
46.781  167.637
43.809  167.370
42.725  169.621
46.455  171.757
52.664  169.931
57.794  167.066
62.104  166.241
65.332  167.389
68.434  172.155
67.552  174.885
65.974  175.134
65.036  173.885
65.644  171.620
69.877  165.746
71.421  160.894
66.388  152.562
56.111  142.463
51.620  134.673
50.343  128.265
54.804  114.496
71.423  102.357
88.280  98.762
103.488  101.928
116.205  113.270
115.672  115.455
112.669  116.806
111.413  115.126
112.281  111.418
120.169  110.408
127.363  115.421
130.566  124.858
129.084  127.551
125.965  127.926
124.850  125.218
126.077  122.991
136.568  123.661
139.760  129.916
139.760  137.416
138.418  145.424
136.762  147.565
134.195  145.481
136.526  141.899
141.829  146.660
142.731  154.367
140.541  165.654
137.618  171.673
135.720  167.038
132.799  162.788
116.450  154.550
99.116  149.992
84.196  141.836
77.264  135.763
70.684  131.855
69.369  135.231
70.108  139.064
74.017  146.606
77.249  156.832
78.258  165.321
76.906  172.443
73.662  176.649
68.606  179.350
